fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,CoPx_R,right,all,MSE,2.1964690071130963e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,MAE,0.0032708171855701583,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,Hausdorff,2.8411732604358866,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,SS_vs_persistence,4.552761501130931e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,HD_ratio_vs_persistence,1.0,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,SS_vs_seasonal,0.0919781224725934,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,HD_ratio_vs_seasonal,0.9855115010906587,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,SS_vs_ar,-0.15729529528549024,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,HD_ratio_vs_ar,1.1871079862131204,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,SS_vs_probgru,0.12278025320143982,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,all,HD_ratio_vs_probgru,0.9430699226022377,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,MSE,9.813987589050312e-06,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,MAE,0.002209867923355502,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,SS_vs_persistence,1.0189537014149153e-07,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,SS_vs_seasonal,0.06851556710177242,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,SS_vs_ar,0.12330564811416156,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,1,SS_vs_probgru,0.6728238311169232,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,2,MSE,1.6626288280935496e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,2,MAE,0.0028972239051930373,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,2,SS_vs_persistence,6.014571152235249e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_R,right,2,SS_vs_seasonal,0.02578230812841431,22076,2ec2ba37fa8cbb0b
